,item_id,first_genre,second_genre
0,14805540,Fiction,Fantasy
1,26470722,Fiction,Young Adult
2,22634595,Fantasy,Young Adult
3,3793700,Humor,Fiction
4,2961964,Fiction,Contemporary
5,47934504,Fantasy,Young Adult
6,16657003,Romance,New Adult
7,21585451,Self Help,Nonfiction
8,41240830,Fantasy,Young Adult
9,24495476,Fantasy,Urban Fantasy
10,6579128,Paranormal,Vampires
11,41292505,Romance,Dark
12,1133588,Nonfiction,Autobiography
13,7145410,Young Adult,Paranormal
14,41951492,Sequential Art,Graphic Novels
15,21973918,Nonfiction,Religion
16,18309264,Young Adult,Contemporary
17,5023150,Fiction,Literature
18,23859036,Historical,Historical Fiction
19,929012,Fantasy,Fiction
20,21932118,Romance,Dark
21,44760257,Sequential Art,Graphic Novels
22,18236079,Young Adult,LGBT
23,14262366,Nonfiction,Psychology
24,1166797,Fiction,Science Fiction
25,16015218,Mystery,Fiction
26,40358230,Nonfiction,Autobiography
27,2086690,Humor,Nonfiction
28,1965767,Fiction,Fantasy
29,40849819,Fantasy,Young Adult
30,26129550,Fiction,Cultural
31,25146823,Fiction,Magical Realism
32,6156487,Fiction,Historical
33,22276283,Romance,Romance
34,21855448,Fantasy,Fiction
35,17912072,Romance,Romance
36,1208014,Romance,Fiction
37,15110962,Nonfiction,Autobiography
38,26041989,Young Adult,Fantasy
39,2586820,Historical,Historical Fiction
40,26014934,Young Adult,Contemporary
41,1785549,Young Adult,Science Fiction
42,2635502,Plays,Classics
43,3332231,Fiction,Historical
44,43082842,Romance,Fiction
45,926090,Nonfiction,Autobiography
46,3516480,Fantasy,Fantasy
47,6697901,Science Fiction,Science Fiction
48,170957,Classics,Fiction
49,13534308,Romance,Young Adult
50,21863110,Dark,Romance
51,41903609,Young Adult,Fantasy
52,14362949,Romance,Fiction
53,6309701,Fantasy,Fiction
54,46924845,Fantasy,Young Adult
55,16908743,Fantasy,Paranormal
56,3741438,Fantasy,Young Adult
57,42362451,Fantasy,Childrens
58,2532689,Fiction,Contemporary
59,19008983,Fantasy,Science Fiction
60,42465462,Fantasy,Romance
61,14836642,Fantasy,Young Adult
62,26124107,Fiction,Contemporary
63,2567181,Spirituality,Nonfiction
64,45670644,Mystery,Fiction
65,39931607,Science Fiction,Dystopia
66,44574911,Young Adult,Science Fiction
67,3349054,Fantasy,Fiction
68,30158053,Fantasy,Urban Fantasy
69,6247751,Fantasy,Young Adult
70,5298464,Young Adult,Romance
71,46636002,Fantasy,Young Adult
72,3128767,Young Adult,Contemporary
73,48487231,Fiction,Contemporary
74,779381,Fantasy,Urban Fantasy
75,3032794,Historical,Historical Fiction
76,227172,Fantasy,Fantasy
77,24567191,Romance,New Adult
78,28030792,Fantasy,Fiction
79,22380916,Young Adult,Science Fiction
80,1574475,Fantasy,Fiction
81,21522131,Romance,Adult Fiction
82,2787065,Romance,Contemporary
83,26680333,Romance,Romance
84,13404762,Historical,Historical Fiction
85,22603415,New Adult,Romance
86,43006457,Young Adult,Contemporary
87,21539872,Classics,Mystery
88,16987689,Fiction,Womens Fiction
89,50435175,Fantasy,Fiction
90,21762912,Fiction,Fantasy
91,7050578,Sequential Art,Graphic Novels
92,1056302,Fiction,Novels
93,21938104,Romance,New Adult
94,40026175,Science Fiction,Fiction
95,25147432,New Adult,Romance
96,43264515,Nonfiction,Self Help
97,24490654,Romance,New Adult
98,48321130,Mystery,Fiction
99,2904401,Historical,Historical Fiction
100,2926759,Fiction,Humor
101,4733799,Fantasy,Fiction
102,604666,Classics,Fiction
103,25538638,Young Adult,Romance
104,1877624,Science Fiction,Fiction
105,40167157,Childrens,Picture Books
106,26123646,Womens Fiction,Chick Lit
107,7087991,Paranormal,Vampires
108,17589076,Young Adult,Fantasy
109,7245151,Science Fiction,Steampunk
110,15706987,Fantasy,Young Adult
111,42216233,Fantasy,Young Adult
112,2246190,Fiction,Historical
113,3364186,History,Nonfiction
114,7188482,Paranormal,Vampires
115,6504537,Fiction,Historical
116,3144982,Childrens,Picture Books
117,45363962,Romance,Dark
118,15774461,Young Adult,Science Fiction
119,16152935,Romance,Contemporary Romance
120,46190740,Fiction,Romance
121,818,Horror,Horror
122,3271214,Fiction,Cultural
123,21865808,Fiction,Mystery
124,45720714,Nonfiction,Sociology
125,838691,Fiction,Young Adult
126,24897193,Romance,New Adult
127,212043,Historical,Historical Fiction
128,16669543,Young Adult,Romance
129,23581990,Fantasy,LGBT
130,15760836,Fiction,Contemporary
131,42038027,Mystery,Thriller
132,42439923,Thriller,Mystery
133,1263212,Classics,Fiction
134,13292985,Horror,Zombies
135,43111795,Fantasy,Childrens
136,44686341,Young Adult,Contemporary
137,40771712,Fantasy,Fantasy
138,2965832,Classics,Fiction
139,21599077,Nonfiction,Spirituality
140,718772,Fiction,Environment
141,6914700,Historical,Historical Fiction
142,26127435,Fiction,Contemporary
143,8520753,Young Adult,Paranormal
144,25382416,Romance,Contemporary
145,44610373,Mystery,Fiction
146,18450578,Fiction,Literary Fiction
147,750426,Classics,Historical
148,1659113,Young Adult,Fantasy
149,2252079,Classics,Fiction
150,2201026,Nonfiction,Writing
151,45137948,Fiction,Mystery
152,27334868,Fiction,Mystery
153,4537271,Classics,Fiction
154,23986486,Dark,Romance
155,50105334,Fantasy,Young Adult
156,25128414,Young Adult,Romance
157,45620597,Romance,Romance
158,23731028,Fiction,Contemporary
159,1209957,Fiction,Young Adult
160,925503,Horror,Fiction
161,575450,Classics,Fiction
162,25379189,Young Adult,Contemporary
163,1222101,Classics,Mystery
164,25442975,Young Adult,Mystery
165,2245431,Fiction,Historical
166,22016392,Mystery,Fiction
167,6264122,Fiction,American
